,SDURAKKODU,SDURAKADI,KOORDINAT,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM
5115,183961,HZ. EBUBEKİR CAMİ,POINT (28.9698300000116 41.0921439991149),Kagithane,HAMIDIYE MAHALLESII,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5116,288922,ÇIRÇIR CADDESİ,POINT (29.1612819816552 41.1488994135583),Beykoz,BEYKOZ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5117,182841,ÇATALCA CADDESİ,POINT (28.4524478860967 41.212706388523),Çatalca,SUBASI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5118,181911,VIP TERMİNAL-MÜLKİ İDARE-EMNİYET,POINT (28.750118999999 41.2489379991097),Arnavutköy,HAVALIMANI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5119,182822,SANEM SOKAK,POINT (28.7026236269779 41.1758428386983),Arnavutköy,HADIMKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5120,286132,BURÇAK SOKAK,POINT (29.2547120000097 40.9990609991169),Sancaktepe,YENIDOGAN,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5121,263281,SUR SOKAK,POINT (29.2359799877378 40.96896996756),Sancaktepe,KARTAL,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5122,401271,HAREM PERONLAR 2,POINT (29.0119570000113 41.0087929991165),Üsküdar,SON DURAK,YOK,KAPALI,CCMODERN,Uygun Degil
5123,180331,YENİKAPI İDO,POINT (28.9573850485755 41.002380024054),Fatih,AKSARAY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5124,181702,ÖRENCİK SAĞLIK OCAĞI,POINT (28.4784079999479 41.327378999104),Çatalca,YALIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5125,287511,GENERAL EŞREF BİTLİS CADDESİ,POINT (29.1936050000099 41.0058859991161),Sancaktepe,SANCAKTEPE,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil
5126,264141,ŞEHİT ÜNAL KALAFAT CADDESİ,POINT (29.18314000001 41.011229999116),Ümraniye,NECIP FAZIL METRO,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5127,287771,ALTINŞEHİR MUHTARLIK,POINT (29.1416000000101 41.0127999991159),Ümraniye,ALTINSEHIR METRO,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5128,184392,SERBEST BÖLGE,POINT (28.8196546017524 40.9843696353357),Bakirköy,DÜNYA TICARET MERKEZI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5129,263291,ABDULHAMİT CADDESİ,POINT (29.2170599668348 40.9833699583316),Sancaktepe,YENIDOGAN,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5130,111702,SOYAK,POINT (28.6239444885579 41.1332942633291),Arnavutköy,HADIMKÖY,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
5131,287301,BIÇKIDERE CADDESİ,POINT (29.474929000007 41.0654969991152),Sile,TEPEÜSTÜ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5132,122472,ALKENT,POINT (28.6248229999699 41.0775240005655),Esenyurt,BEYLIKDÜZÜ-AKÇABURGA,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5133,130611,BAHÇELİEVLER İSKİ,POINT (28.8653239999856 41.0120700005556),Bahçelievler,HAZNEDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5134,116623,SARIYER HAMİDİYE ETFAL EĞİTİM VE ARAŞTIRMA HASTANESİ,POINT (29.0273220000098 41.1556789991127),Sariyer,SARIYER,YOK,FULL KAPALI,İSTON DAR,Uygun Degil
5135,285361,PLAZALAR,POINT (29.1230700000102 41.0274439991156),Ümraniye,ÜMRANIYE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5136,179632,ŞERİF AĞA,POINT (28.0021162614193 41.0972543820986),Silivri,DEGIRMENKÖY KONUTLAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5137,184501,KATI ATIK GERİ KAZANIM TESİSLERİ,POINT (28.8184080000038 41.2240009991105),Eyüpsultan,SONDURAK,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5138,317031,EMİNÖNÜ,POINT (28.9698390000091 41.0191039991154),Fatih,PERON,YOK,KAPALI,WALLMODERN,Uygun Degil
5139,120422,VURAL SOKAK,POINT (28.9229868484575 41.0874138607153),Eyüpsultan,ADLIYECILER SITESI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5140,288311,MARMARA EĞİTİM KÖYÜ ANA GİRİŞ,POINT (29.1821490552353 40.9595776778047),Maltepe,MALTEPE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5141,182061,ÇAMLIK CADDESİ,POINT (28.6819409999913 41.0900919991124),Basaksehir,ESTONSEHIR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5142,118981,BASIN YAYIN YÜKSEKOKULU,POINT (28.9844639999891 41.0464060005611),Sisli,PANGALTI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5143,220433,ASFALT FABRİKASI,POINT (29.1043429999914 41.0616830005637),Beykoz,BEYKOZ,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil
5144,287192,İSTİKLAL CADDESİ,POINT (29.4027920000078 40.8925569991188),Tuzla,TUZLA ORGANIZE SANAYI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5145,183151,HZ.OSMAN CAMİİ,POINT (28.7734243572896 41.0412709606081),Küçükçekmece,HALKALI MARMARAY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5146,288171,YAKINSU SOKAK,POINT (29.1450907821292 41.0226566631573),Ümraniye,PARSELLER,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5147,113602,TEPECİK SOKAK,POINT (29.0330619999901 41.0867420005677),Besiktas,ZINCIRLIKUYU,YOK,KAPALI,WALLMODERN,Uygun Degil
5148,203522,ÇAMLIK CADDESİ,POINT (29.2753040043738 40.9678250015657),Sultanbeyli,SON DURAK,YOK,AÇIK,AÇIK DURAK,Uygun Degil
5149,129992,İSTANBUL CADDESİ,POINT (28.4970679999524 41.2304040005897),Çatalca,KARACAKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5150,260652,BARIŞ YOLU CADDESİ,POINT (29.1871467114859 41.0296486872219),Çekmeköy,NECIP FAZIL METRO,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5151,184091,DENİZ MÜZESİ ,POINT (29.006548026936 41.0419076242358),Besiktas,ORTAKÖY,YOK,FULL KAPALI,WALLMODERN,Uygun Degil
5152,285102,AKAR ÇEŞMELER,POINT (29.329324477551 41.1010776189135),Çekmeköy,BEYKOZ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5153,264112,HAYVAN BARINAĞI,POINT (29.3998000000079 40.9649989991173),Pendik,KURTDOGMUS,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5154,263883,NECİP FAZIL METRO,POINT (29.1799330000105 41.0145879991166),Ümraniye,SANCAKTEPE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5155,285252,PİRİ REİS CADDESİ,POINT (29.2781884825616 40.9278252819098),Pendik,SULTANBEYLI PERONLAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5156,105992,ABDİ İPEKÇİ CADDESİ,POINT (28.9058909999868 41.0855580005674),Gaziosmanpasa,KARAYOLLARI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5157,263752,BAĞLAR CADDESİ,POINT (29.2827390000092 41.0103499991163),Sancaktepe,PASAKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5158,286012,BÜYÜKBAKKALKÖY SAPAĞI,POINT (29.1928110000103 40.9823949991172),Atasehir,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5159,181251,KÖPRÜ,POINT (28.6897421459834 41.0397344395882),Esenyurt,BAHÇESEHIR,YOK,AÇIK,AÇIK DURAK,Uygun Degil
5160,285741,KELEBEK VADİSİ,POINT (29.1564030000108 41.1250239991143),Beykoz,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5161,285752,KAZIM KARABEKİR CADDESİ,POINT (29.1518110000108 41.1226349991143),Beykoz,KAVACIK,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5162,203561,REŞADİYE CADDESİ,POINT (29.2398459999932 41.0493230005618),Çekmeköy,RESADIYE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5163,107481,REDİF SOKAK,POINT (28.7396609999788 41.1860010005834),Arnavutköy,ÇARDAKTEPE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5164,264151,İDEALİST KENT CADDESİ,POINT (29.17729000001 41.012158999116),Ümraniye,NECIP FAZIL METRO,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5165,106974,BEYAZIT,POINT (28.9639918564204 41.0095518627972),Fatih,SON DURAK,YOK,KAPALI,WALLMODERN,Uygun Degil
5166,182971,LOKMACIK ÇIKMAZI SOKAK,POINT (28.38335898088 41.2059518171956),Çatalca,KABAKÇA,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5167,285021,FISTIKLI BAYIR SOKAK,POINT (29.05580000001 41.041799999115),Üsküdar,KIRAZLITEPE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5168,108232,TAYAKADIN YASSIÖREN CADDESİ,POINT (28.6814949999743 41.263973000596),Arnavutköy,GERME,YOK,AÇIK,AÇIK DURAK,Uygun Degil
5169,181101,BAHÇELERİÇİ SOKAK,POINT (28.5176929999596 41.0159209991115),Büyükçekmece,TÜYAP,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5170,263322,ÇİFTEÇINARLAR,POINT (29.0952730000103 41.148715999113),Beykoz,DERESEKI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5171,181452,KARAYOLLARI,POINT (28.3735159999106 41.0820069991096),Silivri,SELIMPASA,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5172,184491,868. SOKAK,POINT (28.9193720434184 41.0893306517359),Gaziosmanpasa,YESILPINAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5173,181142,AKASYA,POINT (28.8585850000108 41.0691719991153),Bagcilar,GIYIMKENT,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5174,181381,ISPARTAKULE BULVARI 1,POINT (28.709104999995 41.0757619991131),Avcilar,SAHINTEPE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5175,182992,HACI MEHMET CİNGİL ORTAOKULU,POINT (28.8643638922477 41.1148266010087),Sultangazi,MESCIDI SELAM,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5176,181882,HASBAHÇE SOKAK,POINT (28.7824320000014 41.0744759991135),Basaksehir,AGAOGLU SITELERI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5177,285351,SEVGİ EVLERİ ÇOCUK YUVASI,POINT (29.2691530000096 41.1250609991142),Beykoz,ÜMRANIYE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5178,183262,AKÇEŞME CADDESİ,POINT (28.4942667240413 41.1208350638906),Çatalca,ÇATALÇA,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5179,287801,FAN ZONE,POINT (29.4075250000078 40.9510719991176),Tuzla,KUZEYDOGU,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5180,184112,HACI ŞÖHRET DEMİRÖZ FEN LİSESİ,POINT (28.6724589999907 41.0994419991124),Basaksehir,HEYBETLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5181,112796,USKUMRUKÖY YOLU,POINT (29.0325986283919 41.2195407576824),Sariyer,KILYOS,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil
5182,182071,KABAKÇA,POINT (28.3676420414782 41.2231715584863),Çatalca,ÇATALCA,YOK,KAPALI,İETTCAMLI,Uygun Degil
5183,286142,UYSAL CADDESİ,POINT (29.2266013637571 41.0134055814983),Sancaktepe,TASDELEN,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5184,124932,KARAKENT SİTESİ,POINT (28.8498550000053 41.0103589991153),Bahçelievler,ÇAVUSPASA,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5185,303391,KAĞITHANE,POINT (28.9734979643521 41.0796540377633),Kagithane,TOPKAPI ( 41ST ),YOK,KAPALI,CCMODERN,Uygun Degil
5186,177861,KIRAÇ TERMAL TESİSİ,POINT (28.6383819884712 41.0356459596356),Esenyurt,KIRAÇ,YOK,,İETTBAYRAK,Uygun Degil
5187,220031,MEHMET AKİF ERSOY MAHALLESİ,POINT (29.0706159999909 41.0394120005601),Üsküdar,ÜSKÜDAR,YOK,KAPALI,İETTCAMLI,Uygun Degil
5188,286242,HAZNEDAR SOKAK,POINT (29.2329573921833 41.0032528323011),Sancaktepe,KARTAL,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5189,183371,ŞEHİT ABDULSELAM ÖZATAK İLKOKULU,POINT (28.7698572531029 41.1076629251268),Basaksehir,FENERTEPE,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil
5190,183391,ASAF CADDESİ,POINT (28.9980867725226 41.09869016987),Kagithane,SEYRANTEPE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5191,287261,MEHMETÇİK VAKFI,POINT (29.355292429165 40.9202882082893),Tuzla,PENDIK,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
5192,201763,İNTİZAM SOKAK,POINT (29.2448273825872 40.983341744217),Sancaktepe,MIMAR SINAN MAHALLESI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5193,287991,UZMAN SOKAK,POINT (29.1532830000101 41.010677999116),Ümraniye,HAREM PERONLAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5194,183591,DURSUNBEY FABRİKALAR,POINT (28.6416699999864 41.2177329991097),Arnavutköy,DURSUNBEY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5195,285052,İBB ŞİLE ENGELLİLER KAMPI,POINT (29.4701548386181 41.1885443961372),Sile,AGVA,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
5196,285842,ADIVAR SOKAK,POINT (29.1195694080068 41.0115650816932),Ümraniye,EVTAS BLOKLARI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5197,287921,SOĞUKSU DERESİ,POINT (29.4424060000074 41.0762379991149),Sile,DARLIK,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5198,287992,UZMAN SOKAK,POINT (29.1532867425109 41.0107818578345),Ümraniye,HAREM PERONLAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5199,183731,ÇEŞME,POINT (28.494003999955 41.2438559991078),Çatalca,ÇATALCA,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
5200,182081,ATATÜRK CADDESİ,POINT (28.345545999897 41.0924049991089),Silivri,MIMAR SINAN MAHALLESI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
