,HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
0,1,KİRAZLITEPE - ACIBADEM - KADIKÖY,1/KİRAZLITEPE - ACIBADEM - KADIKÖY,1,Anadolu1,47.29
1,10,Ü.EĞT.ARŞ.HASTANESİ - ATAŞEHİR / BOSTANCI,10/Ü.EĞT.ARŞ.HASTANESİ - ATAŞEHİR / BOSTANCI,1,Anadolu1,87.44
2,10A,ESATPAŞA - YEDİTEPE ÜNİVERSİTESİ / FERHATPAŞA,10A/ESATPAŞA - YEDİTEPE ÜNİVERSİTESİ / FERHATPAŞA,1,Anadolu1,88.03
3,10B,BOSTANCI - KADIKÖY,10B/BOSTANCI - KADIKÖY,1,Anadolu1,53.09
4,10E,ESATPAŞA - KADIKÖY,10E/ESATPAŞA - KADIKÖY,1,Anadolu1,57.64
5,10G,ÜMRANİYE / ESATPAŞA - SÖĞÜTLÜÇEŞME METROBÜS,10G/ÜMRANİYE / ESATPAŞA - SÖĞÜTLÜÇEŞME METROBÜS,1,Anadolu1,76.17
6,10S,BOSTANCI - KADIKÖY,10S/BOSTANCI - KADIKÖY,0,Anadolu1,59.63
7,11,YENİDOĞAN - ALTUNİZADE METROBÜS,11/YENİDOĞAN - ALTUNİZADE METROBÜS,1,Anadolu2,105.07
8,11A,ALEMDAĞ - ALTUNİZADE METROBÜS,11A/ALEMDAĞ - ALTUNİZADE METROBÜS,1,Anadolu2,193.97
9,11BE,BURHANİYE MAHALLESİ - ÜSKÜDAR,11BE/BURHANİYE MAHALLESİ - ÜSKÜDAR,1,Anadolu1,56.76
10,11C,EMNİYET MAHALLESİ - ÜSKÜDAR,11C/EMNİYET MAHALLESİ - ÜSKÜDAR,1,Anadolu1,54.41
11,11CÜ,EMNİYET MAHALLESİ- ÜMRANİYE METRO/RİNG,11CÜ/EMNİYET MAHALLESİ- ÜMRANİYE METRO/RİNG,1,Anadolu1,43.4
12,11D,İNKILAP MAHALLESİ - ÜSKÜDAR,11D/İNKILAP MAHALLESİ - ÜSKÜDAR,1,Anadolu1,79.53
13,11E,ESATPAŞA - ÜSKÜDAR,11E/ESATPAŞA - ÜSKÜDAR,1,Anadolu1,69.79
14,11EK,ESATPAŞA / KARLIDERE - ÜSKÜDAR,11EK/ESATPAŞA / KARLIDERE - ÜSKÜDAR,0,Anadolu1,39.55
15,11ES,ESENEVLER - ACIBADEM METROBÜS / ÜSKÜDAR,11ES/ESENEVLER - ACIBADEM METROBÜS / ÜSKÜDAR,1,Anadolu1,68.54
16,11G,YENİDOĞAN - NECİP FAZIL METRO,11G/YENİDOĞAN - NECİP FAZIL METRO,1,Anadolu2,61.05
17,11H,ORTAÇEŞME - ÜMRANİYE,11H/ORTAÇEŞME - ÜMRANİYE,1,Anadolu1,130.47
18,11K,KAZIM KARABEKİR MAHALLESİ - ÜSKÜDAR,11K/KAZIM KARABEKİR MAHALLESİ - ÜSKÜDAR,1,Anadolu1,79.92
19,11L,ESATPAŞA / BULGURLU - ÜSKÜDAR,11L/ESATPAŞA / BULGURLU - ÜSKÜDAR,1,Anadolu1,58.37
20,11M,MUSTAFA KEMAL MAHALLESİ - ÜSKÜDAR,11M/MUSTAFA KEMAL MAHALLESİ - ÜSKÜDAR,1,Anadolu1,98.75
21,11N,ESENEVLER - ÜSKÜDAR,11N/ESENEVLER - ÜSKÜDAR,1,Anadolu1,58.05
22,11NM,ÖZYEĞİN ÜNİVERSİTESİ - ALTUNİZADE METROBÜS,11NM/ÖZYEĞİN ÜNİVERSİTESİ - ALTUNİZADE METROBÜS,0,Anadolu2,140.05
23,11P,EMEK MAHALLESİ - ÜSKÜDAR,11P/EMEK MAHALLESİ - ÜSKÜDAR,1,Anadolu2,128.41
24,11R,REŞADİYE - NECİP FAZIL METRO,11R/REŞADİYE - NECİP FAZIL METRO,1,Anadolu2,80.88
25,11SA,UĞUR MUMCU / SAMANDIRA - NECİP FAZIL METRO,11SA/UĞUR MUMCU / SAMANDIRA - NECİP FAZIL METRO,1,Anadolu2,88.95
26,11ST,DUMLUPINAR - ÜSKÜDAR,11ST/DUMLUPINAR - ÜSKÜDAR,1,Anadolu1,78.42
27,11T,TÜRKİŞ BLOKLARI - HAREM,11T/TÜRKİŞ BLOKLARI - HAREM,1,Anadolu1,108.19
28,11V,VEYSEL KARANİ - ALTUNİZADE METROBÜS,11V/VEYSEL KARANİ - ALTUNİZADE METROBÜS,1,Anadolu2,129.33
29,11Y,YAVUZTÜRK MAHALLESİ - ÜSKÜDAR,11Y/YAVUZTÜRK MAHALLESİ - ÜSKÜDAR,1,Anadolu1,59.15
30,11ÇB,KAVACIK / ÇAVUŞBAŞI - ÜMRANİYE,11ÇB/KAVACIK / ÇAVUŞBAŞI - ÜMRANİYE,1,Anadolu1,124.12
31,11Ü,ESATPAŞA / ÜNALAN - ÜSKÜDAR,11Ü/ESATPAŞA / ÜNALAN - ÜSKÜDAR,1,Anadolu1,69.05
32,11ÜS,SULTANBEYLİ - ÜSKÜDAR,11ÜS/SULTANBEYLİ - ÜSKÜDAR,1,Anadolu2,168.08
33,12,KADIKÖY - ÜSKÜDAR,12/KADIKÖY - ÜSKÜDAR,1,Anadolu1,23.24
34,121A,BEYKOZ - MECİDİYEKÖY,121A/BEYKOZ - MECİDİYEKÖY,1,Anadolu1,123.94
35,121B,KAVACIK - MECİDİYEKÖY,121B/KAVACIK - MECİDİYEKÖY,1,Anadolu1,60.42
36,121BS,SULTANİYE / SOĞUKSU MAHALLESİ - MECİDİYEKÖY,121BS/SULTANİYE / SOĞUKSU MAHALLESİ - MECİDİYEKÖY,1,Anadolu1,94.1
37,122B,YENİDOĞAN - MECİDİYEKÖY,122B/YENİDOĞAN - MECİDİYEKÖY,0,Anadolu2,169.99
38,122C,TEPEÜSTÜ - MECİDİYEKÖY,122C/TEPEÜSTÜ - MECİDİYEKÖY,1,Anadolu1,100.25
39,122D,ATATÜRK MAHALLESİ - MECİDİYEKÖY,122D/ATATÜRK MAHALLESİ - MECİDİYEKÖY,1,Anadolu2,159.11
40,122H,S.GÖKÇEN HAVALİMANI / YENİŞEHİR - 4.LEVENT METRO,122H/S.GÖKÇEN HAVALİMANI / YENİŞEHİR - 4.LEVENT METRO,1,Anadolu2,244.15
41,122M,ŞAHİNBEY - MECİDİYEKÖY,122M/ŞAHİNBEY - MECİDİYEKÖY,1,Anadolu2,139.09
42,122V,VEYSEL KARANİ - 4.LEVENT METRO,122V/VEYSEL KARANİ - 4.LEVENT METRO,1,Anadolu2,184.4
43,122Y,ÇEKMEKÖY - MECİDİYEKÖY,122Y/ÇEKMEKÖY - MECİDİYEKÖY,1,Anadolu2,234.38
44,122ÇK,ŞAHİNBEY - KAVACIK,122ÇK/ŞAHİNBEY - KAVACIK,1,Anadolu2,90.82
45,125,KADIKÖY - 4.LEVENT / KONAKLAR MAHALLESİ,125/KADIKÖY - 4.LEVENT / KONAKLAR MAHALLESİ,0,Anadolu1,81.87
46,129L,KOZYATAĞI - 4.LEVENT METRO,129L/KOZYATAĞI - 4.LEVENT METRO,1,Anadolu1,124.54
47,129T,BOSTANCI - TAKSİM,129T/BOSTANCI - TAKSİM,1,Anadolu1,105.75
48,12A,KADIKÖY - ÜSKÜDAR,12A/KADIKÖY - ÜSKÜDAR,1,Anadolu1,35.46
49,12C,ÜSKÜDAR DEVLET HASTANESİ - ÜSKÜDAR,12C/ÜSKÜDAR DEVLET HASTANESİ - ÜSKÜDAR,1,Anadolu1,29.81
50,12H,GÜZELTEPE-KADIKÖY,12H/GÜZELTEPE-KADIKÖY,0,Anadolu1,68.37
51,12ÜS,SANCAKTEPE - ÜSKÜDAR,12ÜS/SANCAKTEPE - ÜSKÜDAR,0,Anadolu2,169.94
52,13,ATAŞEHİR / ÇAKMAK MAHALLESİ - KADIKÖY,13/ATAŞEHİR / ÇAKMAK MAHALLESİ - KADIKÖY,1,Anadolu1,110.24
53,130,TUZLA - KADIKÖY,130/TUZLA - KADIKÖY,0,Anadolu2,207.86
54,130A,DENİZ HARP OKULU - KADIKÖY,130A/DENİZ HARP OKULU - KADIKÖY,1,Anadolu2,201.61
55,130E,TUZLA / EVORA KONUTLARI - KARTAL METRO / CEVİZLİ,130E/TUZLA / EVORA KONUTLARI - KARTAL METRO / CEVİZLİ,1,Anadolu2,169.03
56,130H,DENİZ HARP OKULU - SABİHA GÖKÇEN HAVALİMANI,130H/DENİZ HARP OKULU - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,169.07
57,130T,AYDINLI TOKİ KONUTLARI - TUZLA,130T/AYDINLI TOKİ KONUTLARI - TUZLA,1,Anadolu2,87.76
58,130Ş,ŞİFA MAHALLESİ - KADIKÖY,130Ş/ŞİFA MAHALLESİ - KADIKÖY,1,Anadolu2,204.02
59,130ŞT,ŞİFA MAHALLESİ - TAVŞANTEPE METRO,130ŞT/ŞİFA MAHALLESİ - TAVŞANTEPE METRO,1,Anadolu2,80.83
60,131,SULTANBEYLİ - ÜMRANİYE,131/SULTANBEYLİ - ÜMRANİYE,1,Anadolu2,126.21
61,131A,AHMET YESEVİ MAHALLESİ - ÜMRANİYE,131A/AHMET YESEVİ MAHALLESİ - ÜMRANİYE,1,Anadolu2,122.15
62,131B,MİMAR SİNAN MAHALLESİ - ÜMRANİYE,131B/MİMAR SİNAN MAHALLESİ - ÜMRANİYE,1,Anadolu2,138.8
63,131C,SABİHA GÖKÇEN H.L./SULTANBEYLİ - NECİP FAZIL METRO,131C/SABİHA GÖKÇEN H.L./SULTANBEYLİ - NECİP FAZIL METRO,1,Anadolu2,121.85
64,131H,HİLAL KONUTLARI - TEPEÜSTÜ,131H/HİLAL KONUTLARI - TEPEÜSTÜ,1,Anadolu2,127.73
65,131K,YEŞİLTEPE / ŞAHİNBEY - KARTAL,131K/YEŞİLTEPE / ŞAHİNBEY - KARTAL,1,Anadolu2,138.81
66,131MS,SULTANBEYLİ DEVLET HAST./ UZUNDERE - SULTANBEYLİ PERONLAR,131MS/SULTANBEYLİ DEVLET HAST./ UZUNDERE - SULTANBEYLİ PERONLAR,0,,32.58
67,131SB,SULTANBEYLİ MERKEZ-SULTANBEYLİ YENİ DEVLET HAST.,131SB/SULTANBEYLİ MERKEZ-SULTANBEYLİ YENİ DEVLET HAST.,1,Anadolu2,91.81
68,131SÜ,SULTANBEYLİ - SANTRAL,131SÜ/SULTANBEYLİ - SANTRAL,0,Anadolu2,69.01
69,131T,ATATÜRK MAH./ TAŞDELEN - İMES/ ÜMRANİYE,131T/ATATÜRK MAH./ TAŞDELEN - İMES/ ÜMRANİYE,1,Anadolu2,113.33
70,131TD,TAŞDELEN - ÜMRANİYE,131TD/TAŞDELEN - ÜMRANİYE,1,Anadolu2,114.37
71,131V,VEYSEL KARANİ - YAKACIK / KARTAL,131V/VEYSEL KARANİ - YAKACIK / KARTAL,1,Anadolu2,110.77
72,131Y,ÇEKMEKÖY/SAMANDIRA-KARTAL,131Y/ÇEKMEKÖY/SAMANDIRA-KARTAL,1,Anadolu2,131.75
73,131YS,SULTANBEYLİ DEVLET HASTANESİ - YENİDOĞAN - ÜMRANİYE,131YS/SULTANBEYLİ DEVLET HASTANESİ - YENİDOĞAN - ÜMRANİYE,1,Anadolu2,121.96
74,131Ü,SULTANBEYLİ ORMAN CADDESİ - ÜMRANİYE,131Ü/SULTANBEYLİ ORMAN CADDESİ - ÜMRANİYE,1,Anadolu2,132.37
75,132,AKFIRAT / TEPEÖREN - KARTAL,132/AKFIRAT / TEPEÖREN - KARTAL,1,Anadolu2,138.1
76,132A,ÇAMLIK MAHALLESİ - KARTAL,132A/ÇAMLIK MAHALLESİ - KARTAL,1,Anadolu2,95.5
77,132B,AKFIRAT EVLERİ - KARTAL METRO,132B/AKFIRAT EVLERİ - KARTAL METRO,1,Anadolu2,165.16
78,132C,SULTANBEYLİ GÖLET - KARTAL,132C/SULTANBEYLİ GÖLET - KARTAL,1,Anadolu2,113.71
79,132D,KURTDOĞMUŞ / BALLICA - KARTAL,132D/KURTDOĞMUŞ / BALLICA - KARTAL,1,Anadolu2,187.89
80,132E,EMİRLİ / KURNAKÖY - KARTAL,132E/EMİRLİ / KURNAKÖY - KARTAL,1,Anadolu2,139.8
81,132F,ESENLER - TAVŞANTEPE METRO/ KARTAL,132F/ESENLER - TAVŞANTEPE METRO/ KARTAL,1,Anadolu2,82.21
82,132G,GÖZDAĞI - PENDİK YHT/PENDİK,132G/GÖZDAĞI - PENDİK YHT/PENDİK,1,Anadolu2,43.56
83,132H,PENDİK/PENDİK YHT - SABİHA GÖKÇEN HAVALİMANI,132H/PENDİK/PENDİK YHT - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,83.6
84,132K,YENİŞEHİR - KARTAL,132K/YENİŞEHİR - KARTAL,1,Anadolu2,132.03
85,132M,SULTANBEYLİ MİMARSİNAN - KARTAL METRO / CEVİZLİ,132M/SULTANBEYLİ MİMARSİNAN - KARTAL METRO / CEVİZLİ,1,Anadolu2,137.8
86,132N,NİŞANTEPE / BÜYÜKBAKKALKÖY - KARTAL,132N/NİŞANTEPE / BÜYÜKBAKKALKÖY - KARTAL,1,Anadolu2,136.76
87,132P,VEYSEL KARANİ / SULTANBEYLİ - KARTAL,132P/VEYSEL KARANİ / SULTANBEYLİ - KARTAL,1,Anadolu2,150.86
88,132S,YENİDOĞAN - KARTAL,132S/YENİDOĞAN - KARTAL,1,Anadolu2,118.58
89,132SB,SULTANBEYLİ DEVLET HAST.- MARMARA ÜNİV. BAŞIBÜYÜK KAMPÜSÜ,132SB/SULTANBEYLİ DEVLET HAST.- MARMARA ÜNİV. BAŞIBÜYÜK KAMPÜSÜ,1,Anadolu2,135.32
90,132T,TEPEÖREN - KARTAL METRO,132T/TEPEÖREN - KARTAL METRO,1,Anadolu2,107.64
91,132V,YENİDOĞAN / SULTANBEYLİ DEVLET HAST. - PENDİK YHT,132V/YENİDOĞAN / SULTANBEYLİ DEVLET HAST. - PENDİK YHT,1,Anadolu2,161.83
92,132Y,HİLAL KONUTLARI / YAYALAR - KARTAL METRO,132Y/HİLAL KONUTLARI / YAYALAR - KARTAL METRO,1,Anadolu2,74.53
93,132YB,YENİDOĞAN - MARMARA ÜNİVERSİTESİ BAŞIBÜYÜK KAMPÜSÜ,132YB/YENİDOĞAN - MARMARA ÜNİVERSİTESİ BAŞIBÜYÜK KAMPÜSÜ,1,Anadolu2,118.67
94,132YM,YEŞİLTEPE-MARMARA EĞİTİM KÖYÜ,132YM/YEŞİLTEPE-MARMARA EĞİTİM KÖYÜ,1,Anadolu2,118.88
95,132Z,SULTANBEYLİ UZUNDERE - KARTAL,132Z/SULTANBEYLİ UZUNDERE - KARTAL,1,Anadolu2,120.11
96,132ÇK,ÇEKMEKÖY - KARTAL,132ÇK/ÇEKMEKÖY - KARTAL,1,Anadolu2,163.63
97,133,GÜZELYALI - KARTAL,133/GÜZELYALI - KARTAL,0,Anadolu2,72.48
98,133A,AYDINLI BAHÇELER - KARTAL,133A/AYDINLI BAHÇELER - KARTAL,1,Anadolu2,114.85
99,133AK,TEPEÖREN - KARTAL,133AK/TEPEÖREN - KARTAL,1,Anadolu2,112.46
100,133F,ACARLAR SİTESİ - MALTEPE / CEVİZLİ PERONLAR,133F/ACARLAR SİTESİ - MALTEPE / CEVİZLİ PERONLAR,1,Anadolu1,102.5
101,133G,GÜLENSU MAHALLESİ - KARTAL,133G/GÜLENSU MAHALLESİ - KARTAL,1,Anadolu1,64.6
102,133GP,GÖÇBEYLİ - KARTAL,133GP/GÖÇBEYLİ - KARTAL,1,Anadolu2,172.38
103,133K,KURTKÖY SANAYİ MAHALLESİ / KAVAKPINAR - KARTAL,133K/KURTKÖY SANAYİ MAHALLESİ / KAVAKPINAR - KARTAL,1,Anadolu2,103.64
104,133KT,AYDINLI TOKİ KONUTLARI - KARTAL,133KT/AYDINLI TOKİ KONUTLARI - KARTAL,1,Anadolu2,93.96
105,133M,TUZLA ORGANİZE SANAYİ - KAFKALE TUZLA SAHİL,133M/TUZLA ORGANİZE SANAYİ - KAFKALE TUZLA SAHİL,1,Anadolu2,145.44
106,133N,MALTEPE ÜNİVERSİTESİ - MALTEPE METRO / KARTAL,133N/MALTEPE ÜNİVERSİTESİ - MALTEPE METRO / KARTAL,1,Anadolu1,94.67
107,133P,TEPEÖREN - TUZLA,133P/TEPEÖREN - TUZLA,1,Anadolu2,102.09
108,133T,DENİZ HARP OKULU-MALTEPE PERONLAR,133T/DENİZ HARP OKULU-MALTEPE PERONLAR,1,Anadolu2,144.12
109,133TM,MİMARSİNAN MAHALLESİ - TUZLA,133TM/MİMARSİNAN MAHALLESİ - TUZLA,1,Anadolu2,78.22
110,133Ü,GAZİ BULVARI/ ORHANLI - PENDİK METRO/YHT/PENDİK,133Ü/GAZİ BULVARI/ ORHANLI - PENDİK METRO/YHT/PENDİK,1,Anadolu2,155.54
111,133Ş,ÇAĞDAŞKENT/ ŞEKERPINAR MAH. - KARTAL,133Ş/ÇAĞDAŞKENT/ ŞEKERPINAR MAH. - KARTAL,1,Anadolu2,170.15
112,134,VIAPORT / HİLAL KONUTLARI - KARTAL,134/VIAPORT / HİLAL KONUTLARI - KARTAL,1,Anadolu2,99.43
113,134CK,VELİBABA KİPTAŞ KONUTLARI / CEZAEVİ - KARTAL,134CK/VELİBABA KİPTAŞ KONUTLARI / CEZAEVİ - KARTAL,1,Anadolu2,53.18
114,134GK,UĞURMUMCU/ GÜMÜŞPINAR - KARTAL,134GK/UĞURMUMCU/ GÜMÜŞPINAR - KARTAL,1,Anadolu2,50.83
115,134K,KURFALI - KARTAL,134K/KURFALI - KARTAL,0,Anadolu2,40.37
116,134UK,UĞURMUMCU - KARTAL,134UK/UĞURMUMCU - KARTAL,1,Anadolu2,76.02
117,134YK,UĞURMUMCU - YAKACIK - KARTAL,134YK/UĞURMUMCU - YAKACIK - KARTAL,1,Anadolu2,157.97
118,135,POYRAZKÖY - KAVACIK,135/POYRAZKÖY - KAVACIK,1,Anadolu1,118.46
119,135A,ACARKENT / GÖRELE MAHALLESİ - KAVACIK,135A/ACARKENT / GÖRELE MAHALLESİ - KAVACIK,1,Anadolu1,96.54
120,135G,TOKATKÖY - ÇAVUŞBAŞI,135G/TOKATKÖY - ÇAVUŞBAŞI,1,Anadolu1,99.46
121,135K,KARLITEPE - ORTAÇEŞME,135K/KARLITEPE - ORTAÇEŞME,1,Anadolu1,66.74
122,135T,ARKBOYU - TOKATKÖY,135T/ARKBOYU - TOKATKÖY,1,Anadolu1,83.32
123,135Ç,ÇUBUKLU - KAVACIK,135Ç/ÇUBUKLU - KAVACIK,0,Anadolu1,22.13
124,136,DEĞİRMENDERE - KAVACIK,136/DEĞİRMENDERE - KAVACIK,1,Anadolu1,177.67
125,136B,TÜRK ALMAN ÜNİVERSİTESİ - KAVACIK/HEKİMBAŞI,136B/TÜRK ALMAN ÜNİVERSİTESİ - KAVACIK/HEKİMBAŞI,1,Anadolu1,102.92
126,136R,RİVA - YENİ RİVA YOLU / KAVACIK,136R/RİVA - YENİ RİVA YOLU / KAVACIK,1,Anadolu1,142.85
127,136Z,ALİ BAHADIR / ZERZEVAT - KAVACIK,136Z/ALİ BAHADIR / ZERZEVAT - KAVACIK,1,Anadolu1,149.38
128,137,CUMHURİYET KÖYÜ / RİVA - BEYKOZ / KAVACIK,137/CUMHURİYET KÖYÜ / RİVA - BEYKOZ / KAVACIK,1,Anadolu1,300.21
129,138,CUMHURİYET KÖYÜ / ÖMERLİ - ÜMRANİYE,138/CUMHURİYET KÖYÜ / ÖMERLİ - ÜMRANİYE,1,Anadolu1,209.76
130,138B,GÖLLÜ/ÖMERLİ-ÜMRANİYE,138B/GÖLLÜ/ÖMERLİ-ÜMRANİYE,1,Anadolu1,249.39
131,139,ÜSKÜDAR - ŞİLE,139/ÜSKÜDAR - ŞİLE,1,Anadolu1,322.54
132,139A,ÜSKÜDAR - ŞİLE / AĞVA,139A/ÜSKÜDAR - ŞİLE / AĞVA,1,Anadolu1,481.56
133,139D,BEREKET SİTESİ-DARLIK,139D/BEREKET SİTESİ-DARLIK,1,Anadolu1,356.74
134,139S,ÜSKÜDAR-SOFULAR KÖYÜ,139S/ÜSKÜDAR-SOFULAR KÖYÜ,1,Anadolu1,350.37
135,139T,TEPEÜSTÜ - ŞİLE,139T/TEPEÜSTÜ - ŞİLE,1,Anadolu1,278.5
136,139TA,ŞİLE-AĞVA,139TA/ŞİLE-AĞVA,0,Anadolu1,89.82
137,13AB,ALTUNİZADE - ATAŞEHİR / BOSTANCI,13AB/ALTUNİZADE - ATAŞEHİR / BOSTANCI,1,Anadolu1,89.87
138,13B,YENİŞEHİR - KADIKÖY,13B/YENİŞEHİR - KADIKÖY,1,Anadolu1,90.27
139,13H,EVTAŞ BLOKLARI - ÜMRANİYE METRO / Ü.EĞT.ARŞ.HASTANESİ,13H/EVTAŞ BLOKLARI - ÜMRANİYE METRO / Ü.EĞT.ARŞ.HASTANESİ,1,Anadolu1,63.43
140,13M,ŞERİFALİ - ÜSKÜDAR,13M/ŞERİFALİ - ÜSKÜDAR,1,Anadolu1,100.37
141,13TD,TEPEÜSTÜ - ÜSKÜDAR DEVLET HASTANESİ,13TD/TEPEÜSTÜ - ÜSKÜDAR DEVLET HASTANESİ,0,Anadolu1,55.57
142,13Y,ÇAKMAK MAHALLESİ / YENİSAHRA - KADIKÖY,13Y/ÇAKMAK MAHALLESİ / YENİSAHRA - KADIKÖY,1,Anadolu1,97.36
143,14,YENİDOĞAN/ ÜMRANİYE - KADIKÖY,14/YENİDOĞAN/ ÜMRANİYE - KADIKÖY,1,Anadolu2,133.63
144,141A,ATAKENT - MEHMET AKİF ERSOY CADDESİ,141A/ATAKENT - MEHMET AKİF ERSOY CADDESİ,1,Avrupa1,106.68
145,141K,K.S.S. HASTANESİ - MAHMUTBEY METRO,141K/K.S.S. HASTANESİ - MAHMUTBEY METRO,1,Avrupa1,77.93
146,141M,K.S.S. HASTANESİ - MECİDİYEKÖY,141M/K.S.S. HASTANESİ - MECİDİYEKÖY,1,Avrupa1,157.61
147,142,BOĞAZKÖY - AVCILAR METROBÜS,142/BOĞAZKÖY - AVCILAR METROBÜS,1,Avrupa1,91.23
148,142A,BOĞAZKÖY - AVCILAR METROBÜS,142A/BOĞAZKÖY - AVCILAR METROBÜS,1,Avrupa1,99.16
149,142B,K.S.S. HASTANESİ - BÜYÜKÇEKMECE,142B/K.S.S. HASTANESİ - BÜYÜKÇEKMECE,1,Avrupa1,157.46
150,142E,ESENYURT KİPTAŞ 4. ETAP - AKSARAY,142E/ESENYURT KİPTAŞ 4. ETAP - AKSARAY,1,Avrupa1,176.73
151,142ES,İ.Ü.CERRAHPAŞA KAMPÜS - AVCILAR METROBÜS,142ES/İ.Ü.CERRAHPAŞA KAMPÜS - AVCILAR METROBÜS,1,Avrupa1,116.25
152,142F,YEŞİLKENT - AVCILAR METROBÜS,142F/YEŞİLKENT - AVCILAR METROBÜS,1,Avrupa1,51.27
153,142K,ESENYURT KİPTAŞ 4.ETAP - AVCILAR METROBÜS,142K/ESENYURT KİPTAŞ 4.ETAP - AVCILAR METROBÜS,1,Avrupa1,35.45
154,142T,TÜYAP METROBÜS-K.S.S HASTANESİ,142T/TÜYAP METROBÜS-K.S.S HASTANESİ,1,Avrupa1,101.5
155,143,KÜÇÜKÇEKMECE - İSTOÇ,143/KÜÇÜKÇEKMECE - İSTOÇ,1,Avrupa1,116.37
156,144A,DELİKLİKAYA - AVCILAR METROBÜS,144A/DELİKLİKAYA - AVCILAR METROBÜS,1,Avrupa1,109.86
157,144B,DELİKLİKAYA -YEŞİLBAYIR KÖYÜ- YEŞİLKENT,144B/DELİKLİKAYA -YEŞİLBAYIR KÖYÜ- YEŞİLKENT,1,Avrupa1,142.2
158,144H,HEYBETLİ SOK./DELİKLİKAYA - HARAMİDERE,144H/HEYBETLİ SOK./DELİKLİKAYA - HARAMİDERE,1,Avrupa1,472.32
159,144K,HADIMKÖY KİPTAŞ 3. ETAP-ESENKENT,144K/HADIMKÖY KİPTAŞ 3. ETAP-ESENKENT,1,Avrupa1,60.02
160,144M,DELİKLİKAYA-MAHMUTBEY METRO,144M/DELİKLİKAYA-MAHMUTBEY METRO,1,Avrupa1,153.94
161,145,İHLAS MARMARA EVLERİ - AVCILAR METROBÜS,145/İHLAS MARMARA EVLERİ - AVCILAR METROBÜS,1,Avrupa1,70.36
162,145M,YEŞİLKENT / BEYKENT - TAKSİM,145M/YEŞİLKENT / BEYKENT - TAKSİM,1,Avrupa1,227.09
163,145T,BEYLİKDÜZÜ - TAKSİM,145T/BEYLİKDÜZÜ - TAKSİM,1,Avrupa1,224.8
164,146,BOĞAZKÖY / BAHÇEŞEHİR - BAKIRKÖY,146/BOĞAZKÖY / BAHÇEŞEHİR - BAKIRKÖY,1,Avrupa1,162.87
165,146A,ESENKENT - BİRLİK MAHALLESİ,146A/ESENKENT - BİRLİK MAHALLESİ,1,Avrupa1,120.24
166,146B,METROKENT-EMİNÖNÜ,146B/METROKENT-EMİNÖNÜ,1,Avrupa1,147.39
167,146BA,FENERTEPE PERON/BAŞAKŞEHİR-AVCILAR METROBÜS,146BA/FENERTEPE PERON/BAŞAKŞEHİR-AVCILAR METROBÜS,1,Avrupa1,200.32
168,146E,FENERTEPE PERON/BAŞAKŞEHİR - MECİDİYEKÖY,146E/FENERTEPE PERON/BAŞAKŞEHİR - MECİDİYEKÖY,0,Avrupa1,178.09
169,146F,FENERTEPE PERON/BAŞAKŞEHİR-BAHÇEŞEHİR,146F/FENERTEPE PERON/BAŞAKŞEHİR-BAHÇEŞEHİR,1,Avrupa1,178.67
170,146K,FENERTEPE PERON - BİRLİK MAHALLESİ,146K/FENERTEPE PERON - BİRLİK MAHALLESİ,1,Avrupa1,125.07
171,146M,MECİDİYEKÖY - METROKENT,146M/MECİDİYEKÖY - METROKENT,1,Avrupa3,154.9
172,146T,BOĞAZKÖY / BAHÇEŞEHİR - YENİKAPI,146T/BOĞAZKÖY / BAHÇEŞEHİR - YENİKAPI,1,Avrupa1,183.74
173,147,ŞAHİNTEPE - AVCILAR CİHANGİR MAHALLESİ,147/ŞAHİNTEPE - AVCILAR CİHANGİR MAHALLESİ,1,Avrupa1,132.89
174,14A,ALEMDAĞ - KADIKÖY,14A/ALEMDAĞ - KADIKÖY,1,Anadolu2,150.2
175,14AK,ALEMDAĞ - ZİVERBEY / KADIKÖY,14AK/ALEMDAĞ - ZİVERBEY / KADIKÖY,1,Anadolu2,143.96
176,14B,ADEM YAVUZ MAHALLESİ - KADIKÖY,14B/ADEM YAVUZ MAHALLESİ - KADIKÖY,1,Anadolu1,98.03
177,14BK,ÇEKMEKÖY/PARSELLER MAH-KADIKÖY,14BK/ÇEKMEKÖY/PARSELLER MAH-KADIKÖY,1,Anadolu1,102.09
178,14C,ÜSKÜDAR DEVLET HASTANESİ - KADIKÖY,14C/ÜSKÜDAR DEVLET HASTANESİ - KADIKÖY,1,Anadolu1,29.95
179,14CE,ÇEKMEKÖY - KADIKÖY,14CE/ÇEKMEKÖY - KADIKÖY,1,Anadolu2,123.93
180,14D,DUMLUPINAR / KAZIMKARABEKİR - KADIKÖY,14D/DUMLUPINAR / KAZIMKARABEKİR - KADIKÖY,1,Anadolu1,78.76
181,14DK,İNKILAP MAHALLESİ - LİBADİYE CADDESİ / KADIKÖY,14DK/İNKILAP MAHALLESİ - LİBADİYE CADDESİ / KADIKÖY,1,Anadolu1,83.87
182,14E,KAZIM KARABEKİR - KADIKÖY,14E/KAZIM KARABEKİR - KADIKÖY,1,Anadolu1,75.66
183,14ES,ESENŞEHİR - KADIKÖY,14ES/ESENŞEHİR - KADIKÖY,1,Anadolu2,125.85
