,HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
881,KM40,MARMARA EĞİTİM KÖYÜ - METRO / MALTEPE,KM40/MARMARA EĞİTİM KÖYÜ - METRO / MALTEPE,0,Anadolu1,75.46
882,KM41,BAŞIBÜYÜK SAĞLIK KAMPÜSÜ - KÜÇÜKYALI METRO - MARMARA ÜNİV.,KM41/BAŞIBÜYÜK SAĞLIK KAMPÜSÜ - KÜÇÜKYALI METRO - MARMARA ÜNİV.,1,Anadolu1,34.9
883,KM42,BAŞIBÜYÜK - SÜREYYAPAŞA HASTANESİ/ MALTEPE,KM42/BAŞIBÜYÜK - SÜREYYAPAŞA HASTANESİ/ MALTEPE,1,Anadolu1,32.46
884,KM43,MALTEPE ÜNİVERSİTESİ - ZÜMRÜTEVLER/ MALTEPE,KM43/MALTEPE ÜNİVERSİTESİ - ZÜMRÜTEVLER/ MALTEPE,1,Anadolu1,58.85
885,KM44,MALTEPE ÜNİVERSİTESİ - SİTELER - MALTEPE,KM44/MALTEPE ÜNİVERSİTESİ - SİTELER - MALTEPE,1,Anadolu1,63.71
886,KM45,MALTEPE ÜNİVERSİTESİ - KÜÇÜKYALI METRO,KM45/MALTEPE ÜNİVERSİTESİ - KÜÇÜKYALI METRO,1,Anadolu1,48.61
887,KM46,BATI ATAŞEHİR - KOZYATAĞI METRO,KM46/BATI ATAŞEHİR - KOZYATAĞI METRO,1,Anadolu1,54.28
888,KM47,GÜLENSU MAHALLESİ-HUZUREVİ METRO,KM47/GÜLENSU MAHALLESİ-HUZUREVİ METRO,1,Anadolu1,22.51
889,KM48,ESENKENT-HUZUREVİ METRO,KM48/ESENKENT-HUZUREVİ METRO,1,Anadolu1,28.81
890,KM60,VEYSEL KARANİ - KARTAL METRO / CEVİZLİ,KM60/VEYSEL KARANİ - KARTAL METRO / CEVİZLİ,1,Anadolu2,86.65
891,KM70,SULTANBEYLİ - KARTAL METRO / CEVİZLİ,KM70/SULTANBEYLİ - KARTAL METRO / CEVİZLİ,1,Anadolu2,122.25
892,KM71,YENİDOĞAN PERONLAR/ ADİL MAH. - CEVİZLİ,KM71/YENİDOĞAN PERONLAR/ ADİL MAH. - CEVİZLİ,1,Anadolu2,134.97
893,KM72,PENDİK/PENDİK METRO/ YHT - SULTANBEYLİ DEVLET HAST.,KM72/PENDİK/PENDİK METRO/ YHT - SULTANBEYLİ DEVLET HAST.,1,Anadolu2,122.63
894,KRB1,AHMET YESEVİ - KURNAKÖY KURBAN PAZARI,KRB1/AHMET YESEVİ - KURNAKÖY KURBAN PAZARI,0,Anadolu2,93.7
895,KRB2,KAYNARCA-KURNAKÖY KURBAN PAZARI,KRB2/KAYNARCA-KURNAKÖY KURBAN PAZARI,0,Anadolu2,92.44
896,KRB3,PENDİK YHT - KURNAKÖY KURBAN PAZARI,KRB3/PENDİK YHT - KURNAKÖY KURBAN PAZARI,0,Anadolu2,80.85
897,KRB4,VELİBABA - KURNAKÖY KURBAN PAZARI,KRB4/VELİBABA - KURNAKÖY KURBAN PAZARI,0,Anadolu2,118.83
898,KÇ2,K.S.S.HASTANESİ - YENİBOSNA METRO,KÇ2/K.S.S.HASTANESİ - YENİBOSNA METRO,1,Avrupa1,77.74
899,LF,EMİRGAN LALE FESTİVALİ - MASLAK METRO,LF/EMİRGAN LALE FESTİVALİ - MASLAK METRO,0,Avrupa3,28.79
900,M5,YAMANEVLER METRO-ÜSKÜDAR,M5/YAMANEVLER METRO-ÜSKÜDAR,0,Anadolu1,49.56
901,M7,MECİDİYEKÖY-MAHMUTBEY,M7/MECİDİYEKÖY-MAHMUTBEY,0,Avrupa3,10.0
902,MB1,KIRAÇ - METROBÜS - İHLAS MARMARA EVLERİ,MB1/KIRAÇ - METROBÜS - İHLAS MARMARA EVLERİ,0,Avrupa1,12.4
903,MK1,METROKENT - ŞEHİR HASTANESİ,MK1/METROKENT - ŞEHİR HASTANESİ,1,Avrupa1,41.51
904,MK11,OLİMPİYATKÖY METRO - KAYAŞEHİR - GÜVERCİNTEPE,MK11/OLİMPİYATKÖY METRO - KAYAŞEHİR - GÜVERCİNTEPE,1,Avrupa1,48.55
905,MK12,OLİMPİYATKÖY METRO - GÜVERCİNTEPE - KAYAŞEHİR,MK12/OLİMPİYATKÖY METRO - GÜVERCİNTEPE - KAYAŞEHİR,1,Avrupa1,46.79
906,MK13,ŞAHİNTEPE - OLİMPİYATKÖY METRO,MK13/ŞAHİNTEPE - OLİMPİYATKÖY METRO,1,Avrupa1,47.7
907,MK14,KİPTAŞ VADİTEPE - OLİMPİYATKÖY METRO,MK14/KİPTAŞ VADİTEPE - OLİMPİYATKÖY METRO,1,Avrupa1,92.3
908,MK15,BOĞAZKÖY / BAHÇEŞEHİR - OLİMPİYATKÖY METRO,MK15/BOĞAZKÖY / BAHÇEŞEHİR - OLİMPİYATKÖY METRO,1,Avrupa1,98.9
909,MK16,OLİMPİYATKÖY METRO - K.ÇEKMECE METROBÜS,MK16/OLİMPİYATKÖY METRO - K.ÇEKMECE METROBÜS,1,Avrupa1,96.0
910,MK17,İBN HALDUN ÜNİ./BAHÇETEPE-OLİMPİYATKÖY METRO,MK17/İBN HALDUN ÜNİ./BAHÇETEPE-OLİMPİYATKÖY METRO,0,Avrupa1,17.35
911,MK19,AYAZMA SİTELERİ-ARENAPARK,MK19/AYAZMA SİTELERİ-ARENAPARK,1,Avrupa1,27.9
912,MK2,OLİMPİYATKÖY METRO - ŞEHİR HASTANESİ,MK2/OLİMPİYATKÖY METRO - ŞEHİR HASTANESİ,1,Avrupa1,20.19
913,MK21,BAŞAKŞEHİR 4. 5. ETAPLAR - BAŞAKŞEHİR METROKENT,MK21/BAŞAKŞEHİR 4. 5. ETAPLAR - BAŞAKŞEHİR METROKENT,0,Avrupa1,29.03
914,MK22,TAŞOLUK PERON - METROKENT,MK22/TAŞOLUK PERON - METROKENT,1,Avrupa2,129.0
915,MK3,15 TEMMUZ MAHALLESİ-MAHMUTBEY METRO,MK3/15 TEMMUZ MAHALLESİ-MAHMUTBEY METRO,0,Avrupa1,28.91
916,MK31,K.S.S HASTANESİ-BAŞAKŞEHİR/FENERTEPE PERON,MK31/K.S.S HASTANESİ-BAŞAKŞEHİR/FENERTEPE PERON,1,Avrupa1,142.07
917,MK32,BAYRAMPAŞA-YENİ MAHALLE METRO,MK32/BAYRAMPAŞA-YENİ MAHALLE METRO,0,Avrupa2,48.9
918,MK36,CEBECİ-YENİ MAHALLE METRO,MK36/CEBECİ-YENİ MAHALLE METRO,0,Avrupa2,20.17
919,MK4,BATIŞEHİR-BİRLİK MAHALLESİ,MK4/BATIŞEHİR-BİRLİK MAHALLESİ,0,Avrupa1,32.07
920,MK41,SEYRANTEPE-KAĞITHANE METRO,MK41/SEYRANTEPE-KAĞITHANE METRO,0,Avrupa3,35.16
921,MK42,15 TEMMUZ MAHALLESİ - KİRAZLI METRO,MK42/15 TEMMUZ MAHALLESİ - KİRAZLI METRO,1,Avrupa1,19.17
922,MK49,YUNUS EMRE MAHALLESİ - KAZIM KARABEKİR METRO,MK49/YUNUS EMRE MAHALLESİ - KAZIM KARABEKİR METRO,1,Avrupa2,24.88
923,MK51,ESENLER GİYİMKENT-ÜÇYÜZLÜ METRO,MK51/ESENLER GİYİMKENT-ÜÇYÜZLÜ METRO,0,Avrupa2,73.32
924,MK52,ZEYTİNBURNU-ÜÇYÜZLÜ METRO,MK52/ZEYTİNBURNU-ÜÇYÜZLÜ METRO,0,Avrupa2,40.41
925,MK53,YUNUSEMRE-ESENTEPE-TEKSTİLKENT METRO,MK53/YUNUSEMRE-ESENTEPE-TEKSTİLKENT METRO,1,Avrupa2,37.39
926,MK79,FENERTEPE - TEKSTİLKENT METRO,MK79/FENERTEPE - TEKSTİLKENT METRO,0,Avrupa1,69.57
927,MK92,YENİ MAHALLE METRO - GÖZTEPE METRO,MK92/YENİ MAHALLE METRO - GÖZTEPE METRO,0,Avrupa1,35.04
928,MK97,ÇAVUŞPAŞA-ZEYTİNBURNU,MK97/ÇAVUŞPAŞA-ZEYTİNBURNU,1,Avrupa1,51.21
929,MR,ÜSKÜDAR MARMARAY - AYRILIKÇEŞME MARMARAY,MR/ÜSKÜDAR MARMARAY - AYRILIKÇEŞME MARMARAY,0,Anadolu1,11.72
